,ID IPEDS Race,IPEDS Race,ID Year,Year,Enrollment,University,ID University,Slug University,Location
130,multiracial,Two or More Races,2016,2016,1683,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
131,native,American Indian or Alaska Native,2016,2016,77,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
132,nonresident,Non-resident Alien,2016,2016,5167,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
133,unknown,Unknown,2016,2016,665,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
134,white,White,2016,2016,22227,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
153,asian,Asian,2015,2015,8742,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
154,black,Black or African American,2015,2015,1994,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
155,hawaiian,Native Hawaiian or Other Pacific Islanders,2015,2015,64,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
156,hispanic,Hispanic or Latino,2015,2015,9948,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
157,multiracial,Two or More Races,2015,2015,1636,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
158,native,American Indian or Alaska Native,2015,2015,80,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
159,nonresident,Non-resident Alien,2015,2015,4933,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
160,unknown,Unknown,2015,2015,574,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
161,white,White,2015,2015,22979,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
180,asian,Asian,2014,2014,8324,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
181,black,Black or African American,2014,2014,1961,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
182,hawaiian,Native Hawaiian or Other Pacific Islanders,2014,2014,59,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
183,hispanic,Hispanic or Latino,2014,2014,9836,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
184,multiracial,Two or More Races,2014,2014,1576,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
185,native,American Indian or Alaska Native,2014,2014,96,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
186,nonresident,Non-resident Alien,2014,2014,4863,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
187,unknown,Unknown,2014,2014,530,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
188,white,White,2014,2014,24068,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
207,asian,Asian,2013,2013,8007,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
208,black,Black or African American,2013,2013,2061,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
209,hawaiian,Native Hawaiian or Other Pacific Islanders,2013,2013,49,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
210,hispanic,Hispanic or Latino,2013,2013,9920,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
211,multiracial,Two or More Races,2013,2013,1441,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
212,native,American Indian or Alaska Native,2013,2013,111,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
213,nonresident,Non-resident Alien,2013,2013,4782,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
214,unknown,Unknown,2013,2013,469,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
215,white,White,2013,2013,25219,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
234,asian,Asian,2012,2012,7926,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
235,black,Black or African American,2012,2012,2126,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
236,hawaiian,Native Hawaiian or Other Pacific Islanders,2012,2012,40,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
237,hispanic,Hispanic or Latino,2012,2012,9594,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
238,multiracial,Two or More Races,2012,2012,1188,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
239,native,American Indian or Alaska Native,2012,2012,143,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
240,nonresident,Non-resident Alien,2012,2012,4722,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
241,unknown,Unknown,2012,2012,435,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
242,white,White,2012,2012,26012,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
